_id,VGNKennung,VAGKennung,Haltepunkt,GlobalID,Haltestellenname,latitude,longitude,Betriebszweig,Dataprovider
1,101,WT,WT:1,de:09564:101:11:1,Weißer Turm,"49,44996272","11,06982213",U-Bahn,VAN
2,101,WT,WT:2,de:09564:101:11:2,Weißer Turm,"49,45025564","11,07058321",U-Bahn,VAN
3,148,WEINTR,WEINTR:1,de:09564:148:0:1,Weintraubengasse,"49,4542236","11,0737743",Bus,VAN
4,148,WEINTR,WEINTR:2,de:09564:148:0:2,Weintraubengasse,"49,4543953","11,0737314",Bus,VAN
5,149,EGID-P,EGID-P:1,de:09564:149:0:1,Egidienplatz,"49,4557152","11,0820856",Bus,VAN
6,149,EGID-P,EGID-P:2,de:09564:149:0:2,Egidienplatz,"49,455883","11,0811663",Bus,VAN
7,150,HL-G,HL-G:1,de:09564:150:0:1,Heilig-Geist-Spital,"49,4532852","11,078517",Bus,VAN
8,151,HAUPTM,HAUPTM:1,de:09564:151:0:1,Hauptmarkt,"49,4543266","11,0766582",Bus,VAN
9,151,HAUPTM,HAUPTM:2,de:09564:151:0:2,Hauptmarkt,"49,454444","11,076006",Bus,VAN
10,152,RATH,RATH:1,de:09564:152:0:1,Rathaus,"49,4557343","11,0787582",Bus,VAN
11,152,RATH,RATH:2,de:09564:152:0:2,Rathaus,"49,4558449","11,0792637",Bus,VAN
12,152,RATH,RATH:3,de:09564:152:0:3,Rathaus,"49,4557343","11,0787582",Bus,VAN
13,153,MAXTOR,MAXTOR:1,de:09564:153:0:1,Maxtor,"49,4584961","11,0817719",Bus,VAN
14,153,MAXTOR,MAXTOR:2,de:09564:153:0:2,Maxtor,"49,458422","11,081435",Bus,VAN
15,154,LAUF-T,LAUF-T:1,de:09564:154:0:1,Laufer Tor,"49,4576302","11,0885744",Bus,VAN
16,154,LAUF-T,LAUF-T:2,de:09564:154:0:2,Laufer Tor,"49,457478","11,087987",Bus,VAN
17,155,INNLAU,INNLAU:1,de:09564:155:0:1,Innerer Laufer Platz,"49,455735","11,084599",Bus,VAN
18,155,INNLAU,INNLAU:2,de:09564:155:0:2,Innerer Laufer Platz,"49,456407","11,084219",Bus,VAN
19,155,INNLAU,INNLAU:3,de:09564:155:0:3,Innerer Laufer Platz,"49,456421","11,084486",Bus,VAN
20,156,BURGST,BURGST:1,de:09564:156:0:1,Burgstr.,"49,4556046","11,0775137",Bus,VAN
21,156,BURGST,BURGST:2,de:09564:156:0:2,Burgstr.,"49,455707","11,077618",Bus,VAN
22,230,BUNR,BUNR:11,de:09564:230:12:11,Bucher Str./Nordring,"49,4690018","11,0682182",Tram,VAN
23,230,BUNR,BUNR:12,de:09564:230:12:12,Bucher Str./Nordring,"49,4689903","11,0681324",Tram,VAN
24,230,BUNR,BUNR:1,de:09564:230:13:1,Bucher Str./Nordring,"49,469871","11,067974",Bus,VAN
25,230,BUNR,BUNR:2,de:09564:230:13:2,Bucher Str./Nordring,"49,4693638","11,0671997",Bus,VAN
26,230,BUNR,BUNR:3,de:09564:230:13:3,Bucher Str./Nordring,"49,4692787","11,0686944",Bus,VAN
27,230,BUNR,BUNR:4,de:09564:230:13:4,Bucher Str./Nordring,"49,4687732","11,0680622",Bus,VAN
28,230,BUNR,BUNR:6,de:09564:230:13:6,Bucher Str./Nordring,"49,468948","11,067988",Bus,VAN
29,231,JUVENE,JUVENE:11,de:09564:231:12:11,Juvenellstraße,"49,466109","11,069382",Tram,VAN
30,231,JUVENE,JUVENE:12,de:09564:231:12:12,Juvenellstraße,"49,465911","11,06941",Tram,VAN
